casey,2015-08-18T15:34:24Z,"I think this should check if the passed in height is too high, and throw an error if it is.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132252059,132252059,
jonasschnelli,2015-08-18T15:43:35Z,I like the idea of not rescanning from genesis in case of a imported key. But i think it should take the creation-timestamp instead of a height as parameter. The height should be calculated out of the given creation time minus a buffer of maybe 288 blocks (or less).\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132254457,132254457,
promag,2015-08-18T15:53:32Z,"@casey right, done.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132257253,132257253,
promag,2015-08-18T15:57:56Z,"@jonasschnelli what about a mixed solution, if the param is greater than, for instance, 1231006505 (genesis timestamp) then use the param as a timestamp?\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132258382,132258382,
jonasschnelli,2015-08-18T16:05:19Z,@promag I would guess most users prefer keeping the date when they have created the key instead of the height. Mixes solution sounds to clever at user input level (might be useful on script level to avoid soft-forks).\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132261388,132261388,
sipa,2015-08-18T16:32:01Z,Just use importwallet RPC instead of importprivkey...\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132267642,132267642,
ruimarinho,2015-08-18T17:36:03Z,@sipa I think one good use case is to import watch-only addresses and only rescan from a certain point in time.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132290480,132290480,
sipa,2015-08-18T18:09:26Z,Then we should add support for watch-only addresses to importwallet.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132302304,132302304,
dcousens,2015-08-19T00:42:46Z,"@sipa maybe I'm not following,  but how does `importwallet` allow you to set the rescan from blockheight?\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132404285,132404285,
sipa,2015-08-19T05:12:27Z,"It supports a birth time for each key, and automatically determines from\nwhere to rescan.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132449297,132449297,
dcousens,2015-08-19T05:52:10Z,"@sipa TIL, but `importwallet` also requires a file on disk right? (ref: https://bitcoin.org/en/developer-reference#importwallet)\nDoesn't seem like an ideal solution if your wanting to do this as part of an API.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132454187,132454187,
jonasschnelli,2015-08-19T06:20:30Z,"I also don't think `importwallet` is the right way to go. You can forge a dumped wallet and use it like sipa has explained. But that's not a user friendly input, but might be a solution if you want to avoid a full rescan in case you like to import keys in the current version.\n\nSupporting a creation date in `importXXX` would be nice. \n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132459955,132459955,
MarcoFalke,2015-08-19T06:31:02Z,"@jonasschnelli Can you explain what you mean by ""might be useful on script level to avoid _soft-forks_"" in regard to the ""mixed solution""?\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132461838,132461838,
sipa,2015-08-19T06:31:33Z,"The reason I'm advocating importwallet is because I think it's unreasonable\nto ask the user to need to decide when to rescan in case of multiple\naddresses/keys(/hdchains?) being imported simultaneously. The efficiency is\nridiculous when you rescan for all, and otherwise you at least have\ntemporarily an inconsistent state where you have wallet keys which are not\nscanned for, and need to rememb",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132461895,132461895,
jonasschnelli,2015-08-19T06:38:21Z,@MarcoFalke: we have such threshold checks on script level (https://github.com/bitcoin/bitcoin/blob/master/src/script/interpreter.cpp#L1133) to allow reusing existing containers.\nBut i think threshold detection on height/timestamp makes not much sense on the RPC user input level.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132462612,132462612,
dcousens,2015-08-19T07:53:33Z,"@sipa I think that depends on your user.\nI think a primary use case for this might be the generation of private keys in an external environment, coupled with the desire to watch them [using bitcoind] from a certain block height onwards. \nThe user would be very aware of 'from when' they want to watch,  because they just created them?\n\nIn any case,  I think if the `importwallet` API supported a ",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132481459,132481459,
ruimarinho,2015-08-19T09:44:28Z,Precisely what @dcousens said. Importing a single or even multiple addresses from another environment where we know the timestamp to start rescanning is an ideal use case for this change.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132516923,132516923,
promag,2015-08-19T12:24:04Z,"Agree with @dcousens and @ruimarinho.\n@jonasschnelli changed to timestamp.\n@sipa created `CChain::FindLatestBefore(int64_t nTime)` because it is used more than once. I suppose it could do a binary search on `CChain::vChain`, but for now keeping the same implementation from `importwallet`.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132572087,132572087,
laanwj,2015-08-19T14:22:36Z,"Agree @sipa regarding ridiculous inefficiency of doing a rescan for each key, and temporary inconsistent state.\n\nI also don't like adding more positional arguments to import*. Getting positional arguments right is a scourge to users.\n\nWhat about an RPC call that acceps an array of {privkey, birthdate, ...} objects? By using an object it could be extendible in case more key metadata is desired.",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132616474,132616474,
dcousens,2015-08-20T00:55:36Z,"> In any case, I think if the importwallet API supported a JSON input, then that solution would be fine, provided it doesn't feel out-of-place.\n\n@laanwj,  I think `importwallet`,  with an optional string filename or json object, could work well.   It'd also be nice if you could optionally disable any RPC API's that look can look anywhere on the file system, but that may be another issue.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132839886,132839886,
promag,2015-08-20T01:40:32Z,So everyone agree on a generic import call with an array of multiple objects?\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132846312,132846312,
dcousens,2015-08-20T01:48:47Z,@promag are you suggesting merging the two commands?\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132848560,132848560,
promag,2015-08-20T02:06:47Z,"I'm suggesting a new call, that can do the same as the others, and deprecate for a while the existing ones.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132851226,132851226,
jonasschnelli,2015-08-20T07:00:33Z,"Agree with @laanwj. Multiple imports with a provided timestamp ends up in inefficient rescans (multiple rescans). The idea of allowing a json objects for importing keys/addresses like `{""key/address"" : <timestamp>, ""key/address"" : <timestamp>, ...}` would be great. The code than should retrieve the ""oldest"" key timestamp and use that date for calculating the rescan height.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-132912744,132912744,
promag,2015-08-24T10:39:38Z,"The current `importwallet` call doesn't accept JSON and changing that is a breaking change. Therefore I propose a new RPC call `importmulti` with one JSON argument.\n\nHere is a proposal of the JSON argument:\n\n```\n[{\n  ""type"": ""privkey | pubkey | ..."",\n  ""value"": ""..."",\n  ""timestamp"": ""..."",         // optional\n  ""label"": ""...""              // optional\n}]\n```\n\nThe implementation will fo",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134142302,134142302,
dcousens,2015-08-24T11:03:47Z,@promag timestamp is optionally a blockheight right?\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134152183,134152183,
promag,2015-08-24T11:08:09Z,"@dcousens well, timestamp is something like `2015-04-24T10:33:24Z`. If there is a need for block height then IMO the JSON should have an explicit key for that.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134154421,134154421,
dcousens,2015-08-24T11:09:23Z,"IMHO a block height (as height OR hash) is more valuable than a time stamp,  especially if this is coming from an externally managed service.  \n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134154799,134154799,
promag,2015-08-24T11:11:27Z,@dcousens If an external service wants to creates an address then it has to make a call to know the current block count. It is easier to save the creation timestamp along with the address.\n,https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134155094,134155094,
ruimarinho,2015-08-24T11:15:41Z,"I'd say they are equivalent, as ISO 8601 is interchangeable with unix timestamp. Both could be supported.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134156125,134156125,
promag,2015-08-24T11:29:44Z,"@ruimarinho sure, however I don't think `timestamp` should allow block height.\n",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134160173,134160173,
dcousens,2015-08-24T11:30:12Z,"> @dcousens If an external service wants to creates an address then it has to make a call to know the current block count.\n\nLets say I receive a transaction: `X`,  I already know it was confirmed at block height `Y`.\n\nBased on this,  externally,  I generate an address/key pair `P` based on some information in `X`.\nTo then import `P`, you're suggesting I then have to find out what the timestam",https://github.com/bitcoin/bitcoin/pull/6570#issuecomment-134160306,134160306,
