dcousens,2015-11-12T03:06:44Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155983963,155983963,
luke-jr,2015-11-12T04:12:25Z,Should this force wallet off? But I suppose maybe watch-only wallets don't need to submit txns...\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155993180,155993180,
gmaxwell,2015-11-12T04:28:49Z,"@luke-jr Nah!  And, in fact with this set you can still submit txns (though it'll be even more obvious its yours!)\n\nConcept Ack. Will test.\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155994585,155994585,
luke-jr,2015-11-12T04:33:23Z,"As the code is right now, I don't think you can submit txns...\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155994976,155994976,
gmaxwell,2015-11-12T04:34:26Z,@luke-jr Yup see my comment. :)\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155995054,155995054,
pstratem,2015-11-12T04:35:15Z,@gmaxwell and ruin my record for smallest patch to add a new feature? :)\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-155995141,155995141,
gmaxwell,2015-11-12T05:46:53Z,Perhaps there is a reason it was record setting? :P\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156008784,156008784,
gmaxwell,2015-11-12T05:53:02Z,"If, instead of blocking at the mempool it did not getdata, then local transactions would work, and you just need to disable the getdata inhibition for whitebinded peers, and the peer is local-- so you'd keep your same lines of code count. Happy?\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156009397,156009397,
paveljanik,2015-11-12T06:23:14Z,"The option should be documented, so yet another line is needed :-)\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156013295,156013295,
paveljanik,2015-11-12T06:27:04Z,What will we do to remote peers relaying transactions to us ignoring we announced that we do not want transactions in `version` message?\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156013686,156013686,
laanwj,2015-11-12T06:45:57Z,Concept ACK.\n\n> Should this force wallet off? But I suppose maybe watch-only wallets don't need to submit txns...\n\nOtherwise there's already `-walletbroadcast=0`. To run a wallet without broadcasting.\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156015835,156015835,
jonasschnelli,2015-11-12T07:42:45Z,Concept ACK.\nAgree with @paveljanik: needs a help message line and maybe a comment on src/net.cpp:L454.\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156026491,156026491,
MarcoFalke,2015-11-12T09:11:58Z,> Otherwise there's already -walletbroadcast=0\n\nUse parameter interaction and set `-walletbroadcast=0` with `-blocksonly`?\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156040104,156040104,
laanwj,2015-11-12T10:28:29Z,"@MarcoFalke Yes.\n\nThere was another similar issue raised on IRC: transactions from whitelisted peers. Even though nothing is accepted into the mempool, these are still relayed:\n\nhttps://github.com/bitcoin/bitcoin/blob/master/src/main.cpp#L4462\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156063083,156063083,
pstratem,2015-11-12T11:15:35Z,@MarcoFalke I'm not sure we cant to put either of these options in the HelpMessage\n\nUnless you know what you're doing these are really not a good idea to change.\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156077226,156077226,
jonasschnelli,2015-11-12T11:20:07Z,"@pstratem: for the sake of a central startup arguments ""documentation"" I think we need to add a help message for every startup parameter. If it's a debugging/expert only feature, it should be placed behind the `-debughelp` wall.\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156077899,156077899,
petertodd,2015-11-12T22:28:37Z,"We really should define something like NODE_BLOCKS and NODE_TXS... Doesn't necessarily need to be in this pull, but worth noting.\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156257452,156257452,
pstratem,2015-11-13T00:30:54Z,@petertodd agreed\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156280121,156280121,
gmaxwell,2015-11-13T19:35:47Z,Needs rebase.   And my tested/code ack is held only on the fact that there is a global static setting for the default thats not used everywhere.  :(\n,https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156536718,156536718,
laanwj,2015-11-14T08:03:53Z,"There was also talk about sending an empty filterload to peers in this mode, if they support NODE_BLOOM.\nLet's do this (if still relevant) in a later pull, just mentioning it for completeness.\n\nEdit: utACK\n",https://github.com/bitcoin/bitcoin/pull/6993#issuecomment-156665815,156665815,
