Aquentus,2016-01-12T06:59:03Z,"Is the website intended to be copyrighted? Otherwise ""© 2016 Bitcoin Core."" should be removed no?\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170817571,170817571,
btcdrak,2016-01-12T07:06:39Z,"@Aquentus Copyright is inalienable and exists by default, every line of code, image, or text written has a copyright assignment by default (to the author unless under employment with no specific agreement otherwise). What is important is the license. In any case, it's not a subject for this ticket or this repository.\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170818588,170818588,
jl2012,2016-01-12T10:40:59Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170870909,170870909,
jmcorgan,2016-01-12T10:41:44Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170871045,170871045,
petertodd,2016-01-12T10:45:31Z,"Concept ACK\n\n(as in, whatever the new Core site's URL is, we should be pointing to it rather than bitcoin.org)\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170871798,170871798,
CodeShark,2016-01-12T10:46:10Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170871915,170871915,
MarcoFalke,2016-01-12T10:47:14Z,"Why is this necessary? We already have https://bitcoin.org/en/bitcoin-core/\n\nThe new website seems ""hardcoded"". Why not fork from https://github.com/bitcoin-dot-org/bitcoin.org ?\n\nWho is responsible for the domain and content. Is the process transparent?\n\nEdit: It looks like the source code is available here: https://github.com/bitcoin-core/website.\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170872474,170872474,
btcdrak,2016-01-12T10:57:38Z,"@MarcoFalke We need our own voice because bitcoin.org's policies are their own. People conflate bitcoin.org with Bitcoin Core. You can read about the relationship and how it evolved [here](https://bitcoin.org/en/bitcoin-core/about-site) but this text is not enough, there needs to be physical separation.\n\nThe domain is owned by Wladamir, the contributing process is similar to Bitcoin Core see the",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170875611,170875611,
MarcoFalke,2016-01-12T11:01:38Z,"Concept ACK, but please link from the website to the GitHub source code repo. Otherwise it is really misleading and hard to verify where the content came from.\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170876686,170876686,
btcdrak,2016-01-12T11:03:51Z,"> please link from the website to the GitHub source code repo. \n\nIt is linked in the contribution document.\n\n> Otherwise it is really misleading and hard to verify where the content came from. \n\nlinked from my comment, maybe we crossed streams :)\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170877101,170877101,
MarcoFalke,2016-01-12T11:58:07Z,"Would you also need to update the website in ""contrib/debian""?\n",https://github.com/bitcoin/bitcoin/pull/7328#issuecomment-170890069,170890069,
