jonasschnelli,2016-01-15T07:26:45Z,This is nice.\nConcept ACK.\n,https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-171892537,171892537,
jgarzik,2016-01-15T13:55:56Z,ut ACK\n,https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-171967031,171967031,
laanwj,2016-01-18T10:58:39Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-172497448,172497448,
laanwj,2016-01-20T14:51:13Z,Ping @theuni\n,https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-173226506,173226506,
theuni,2016-01-22T18:23:13Z,"Concept ack, but let's not default to using the system lib unless --with-system-univalue is specified, please. Otherwise someone (like myself) who has at some point built/installed univalue to system will suddenly find themselves frustrated when their in-tree univalue source changes aren't reflected in the build.\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-173999680,173999680,
luke-jr,2016-01-23T04:06:54Z,"> Concept ack, but let's not default to using the system lib unless --with-system-univalue is specified, please. Otherwise someone (like myself) who has at some point built/installed univalue to system will suddenly find themselves frustrated when their in-tree univalue source changes aren't reflected in the build.\n\nJust use --without-system-univalue. Defaults should not be set just for niche sc",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-174127313,174127313,
theuni,2016-01-25T19:16:12Z,"Agreed, and the new (system) scenario is the niche scenario. It should be opt-in as long as we build it in-tree.\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-174626230,174626230,
luke-jr,2016-01-25T21:26:29Z,"Using system libraries when they are available is the standard use case, not the niche. I'm happy to go back to #7340 if that's preferable though.\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-174670116,174670116,
laanwj,2016-01-26T11:41:53Z,"I'm not yet convinced that univalue will be a library found by default on many systems, will be maintained actively, and if so will do proper versioning in lock-step with our requirements.\n\nSo to err on the side of caution I agree with @theuni, defaulting to the in-tree univalue makes sense.\n\nIt can always be reconsidered later when things have matured for a few versions.\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-174965928,174965928,
gmaxwell,2016-01-27T19:59:15Z,I agree with @theuni.\n,https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-175824857,175824857,
luke-jr,2016-01-28T05:32:43Z,"I think defaulting to ""no"" is still very unreasonable considering @jgarzik is the maintainer, but changed for now.\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-175988829,175988829,
laanwj,2016-01-28T10:44:41Z,"Ok, thanks, utACK after other two @theuni's nits solved\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-176118707,176118707,
luke-jr,2016-01-31T02:33:15Z,@theuni 's nits taken care of\n,https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-177363132,177363132,
theuni,2016-02-01T21:53:18Z,"Thanks, ut ack.\n",https://github.com/bitcoin/bitcoin/pull/7349#issuecomment-178213010,178213010,
theuni,2016-01-22T18:24:20Z,"always add to dist, regardless of the config.\n",https://github.com/bitcoin/bitcoin/pull/7349#discussion_r50571615,50571615,src/Makefile.am
theuni,2016-01-22T18:26:58Z,"Please move univalue to after the internal libs while you're at it, since it's not possible for univalue to depend on them.\n",https://github.com/bitcoin/bitcoin/pull/7349#discussion_r50571905,50571905,src/Makefile.bench.include
laanwj,2016-02-01T09:50:49Z,Nit: should specify that bundled version is used except if `--with-system-univalue`\n,https://github.com/bitcoin/bitcoin/pull/7349#discussion_r51397362,51397362,doc/build-unix.md
luke-jr,2016-02-01T18:49:36Z,Fixed\n,https://github.com/bitcoin/bitcoin/pull/7349#discussion_r51461593,51461593,doc/build-unix.md
