jonasschnelli,2016-02-18T14:36:52Z,Concept ACK.\n,https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-185748475,185748475,
dcousens,2016-02-19T01:47:00Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186007936,186007936,
gmaxwell,2016-02-19T01:51:55Z,"Concept-ACK. \n\nShould the sense of final and non-standard be inverted in the options?  It would be surprising to pass a transaction to this RPC, have it pass.... then find that the network won't accept it.  Practically speaking, except for special cases and developers standardness is pretty much as forceful as validity.\n\nAn obvious future  extension wrt finality would be adding a field in the ",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186009324,186009324,
dcousens,2016-02-19T04:20:14Z,"~~@gmaxwell would it not be easier to make an optional parameter the estimated block height?~~\n~~This would probably need to be specified for each transaction if we're passing a list (so you can do CSV chains etc).~~\nOr would it be better to just give that feedback to the user as the ""earliest possible block height"" it could be included in? [per transaction]\n\n**edit:** As suggested by @gmaxwel",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186043461,186043461,
laanwj,2016-02-19T08:25:52Z,"> it would be surprising to pass a transaction to this RPC, have it pass.... then find that the network won't accept it. \n\nThat's why those checks are enabled (true) by default. For specific cases they could be disabled. Only for the coinbase check I couldn't think of any reason why one'd want to disable it, so I left that out.\n\n> An obvious future extension wrt finality would be adding a fiel",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186115328,186115328,
instagibbs,2016-02-19T22:15:30Z,"~~concept~~ tested ACK, this is great for testing smart contract stuff with timelocks.\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186431705,186431705,
jtimon,2016-02-20T03:03:19Z,"concept ack, but this is very incomplete, I suggest we keep it open without merging too fast.\n\nWe're arbitrarily calling IsStandardTx() but not AreInputsStandard(). Those are just two easily functions containing relay/ming policy, but there's much more related code spread out there.\n\nNit: Remove call to IsStandardTx() in verifytx, we can make another rpc call (or add an option in this one) cal",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186494512,186494512,
dcousens,2016-02-21T16:05:39Z,"IMHO agreed this would be best implemented by `Consensus::VerifyTx` or the like.\n\nI also like the idea of a parameter for rejection based purely on consensus,  and irrespective of local node policy. \n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-186850691,186850691,
laanwj,2016-03-03T13:35:25Z,@jtimon I don't feel like doing all kinds of refactors here (too much risk to break other things). Please just review this for correctness.\n,https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-191762997,191762997,
laanwj,2016-03-03T13:37:37Z,"> I also like the idea of a parameter for rejection based purely on consensus, and irrespective of local node policy.\n\nRight - that's possible already. Disable `check_standard`, and possible `check_final`, or am I missing something?\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-191763466,191763466,
jtimon,2016-03-03T13:46:15Z,"Fair enough, concept ack.\nI would still prefer a more generic and extensible option than bool check_standard (string policy=""default""/""none"" ?).\nI still don't know why isstandard is called but areinputsstandard isn't. There's more to-be-consensus code out of here (that's what I mean by this is incomplete ).\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-191765744,191765744,
laanwj,2016-03-03T13:47:37Z,"> I still don't know why isstandard is called but areinputsstandard isn't. \n\nYes, that's a legit bug (I added it to TODOs in the opening post)\n\n> I would still prefer a more generic and extensible option than bool check_standard (string policy=""default""/""none"" ?).\n\nWhat other options would you imagine there? Adding more options to the options structure is free, so there could always be a ""st",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-191766051,191766051,
laanwj,2016-03-18T14:00:12Z,I've factored out the transaction verification to a (local) VerifyTransaction function.\n,https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-198373650,198373650,
laanwj,2016-03-28T09:27:30Z,"Too much disagreement on how this should be implemented, not going to bother anymore.\n",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-202319726,202319726,
jtimon,2016-03-28T11:04:06Z,"I don’t understand why this is closed. I asked to wait for some refactors first. You said no, fair enough, they can be done later. Then you create the verifyTx function, but not in the consensus package or dir, and including policy code. I can't say I like that (I'm not going to link to the VerifyTx I like anymore because as said it requieres refactors and I was waiting for 0.12.1 first. I guess I",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-202341478,202341478,
laanwj,2016-03-28T11:17:44Z,"> But why not continue with your original version? Wasn't I the only person complaining and didn't I said fair enough and concept ACK?\n> I really can't see ""too much disagreement here, unless you're talking about some conversation on IRC\n\nWell someone else on IRC was worried that the output of this doesn't exactly match the output of `sendrawtransaction`.\n\n```\n<runeks> wumpus: Awesome! Looks",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-202344232,202344232,
jtimon,2016-03-28T11:27:31Z,"Thank you.\n\nWhy the additional requirement of this having to return the same as sendrawtx?\n\nWouldn't everything be much easier if VerifyTx ONLY did consensus checks? As said we can have a VerifyAndAcceptTx later thatalso does relay/mempool policy stuff as well (but, yeah, I agree the policy code needs many refactors if you want to use any of the fee-related code in the CtxMempool and AcceptToM",https://github.com/bitcoin/bitcoin/pull/7552#issuecomment-202345945,202345945,
