MarcoFalke,2016-03-31T13:03:04Z,utACK 8e25246\n,https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-203926767,203926767,
btcdrak,2016-03-31T13:10:56Z,utACK 8e25246\n,https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-203930378,203930378,
jonasschnelli,2016-03-31T13:32:17Z,utACK 8e25246\n,https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-203937099,203937099,
cdecker,2016-03-31T14:27:03Z,utACK 8e25246\n,https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-203963953,203963953,
theuni,2016-03-31T17:05:09Z,"No objections to the changes here, but I think we also want https://github.com/theuni/bitcoin/commit/72946e173b27e8664e2c822729763c38831931e7 ?\nThat prevents them from being installed by 'make install' under any config.\n",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204024094,204024094,
fanquake,2016-04-01T09:29:30Z,utACK https://github.com/bitcoin/bitcoin/commit/8e25246541489ace18c544551218ce713d75dc29\n,https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204327528,204327528,
laanwj,2016-04-01T12:20:15Z,"> No objections to the changes here, but I think we also want theuni@72946e1 ?\n\nI think it's a bit inconsistent - what if people want them installed?\nIn any case I think it's a separate change with a separate goal to this, probably should do it as a separate PR.\n",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204376144,204376144,
laanwj,2016-04-02T06:39:43Z,"> I think it's a bit inconsistent - what if people want them installed?\n\nA consistent policy there would be ""do not install the tests at all"". But then we'd have to take special care to put `test_bitcoin` into the distribution :( I mean it's harder to make a case for the build system (which is also used by other distributions which may have other choices) that that one is special, than on the gi",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204658014,204658014,
theuni,2016-04-02T07:08:34Z,"Yep, i suppose I agree. ut ACK.\n",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204662793,204662793,
laanwj,2016-04-02T08:50:38Z,"~~Linux works~~  UHM I mean doesn't work, builds but the stupid files are still there :horse:\n[snip]\nMay have been using the wrong descriptors, retrying...\n",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204675690,204675690,
laanwj,2016-04-02T09:50:07Z,"It's not properly disabling test_bitcoin-qt. And this is probably the reason:\n\n```\n$ git grep BUILD_TEST_QT\nconfigure.ac:    BUILD_TEST_QT=""test""\nconfigure.ac:AC_SUBST(BUILD_TEST_QT)\n```\n\nE.g. we don't actually use BUILD_TEST_QT anywhere.\n",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204683917,204683917,
laanwj,2016-04-03T13:15:15Z,"@theuni Pushed a new version which does work. Can you take a look? I removed a few `AC_SUBST(` which weren't used at all. But used these variables, which are set at the place where the log message is printed,\n\n```\n  BUILD_TEST_QT=""""\n  ...\n  AC_MSG_CHECKING([whether to build test_bitcoin-qt])\n  if test x$use_gui_tests$bitcoin_enable_qt_test = xyesyes; then\n    AC_MSG_RESULT([yes])\n    BUILD",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-204971005,204971005,
theuni,2016-04-04T18:08:02Z,"@laanwj Looks ok to me, and works as described in a quick test.\n\nThe one case that's unclear is ""--disable-tests --enable-gui-tests"". As-is it built test_bitcoin-qt but not bitcoin_test. That's fine by me (I don't really care either way which one overrides), but it might help to make the help string more clear that the gui tests don't imply non-gui tests.\n",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-205424945,205424945,
laanwj,2016-04-05T10:38:12Z,"> The one case that's unclear is ""--disable-tests --enable-gui-tests"". As-is it built test_bitcoin-qt but not bitcoin_test. That's fine by me\n\nThat was the intended behavior, yes. This allows the maximum flexibility: if you want the GUI tests but not normal tests, or normal tests but not GUI tests, both is possible. Could try to improve the help string.\n\nEdit: On second thought\n\n> do not com",https://github.com/bitcoin/bitcoin/pull/7776#issuecomment-205751116,205751116,
