pstratem,2016-04-01T22:42:52Z,utACK 8d3a32fcd3fe4747c64bd09e344c0a22751784d8\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-204596815,204596815,
laanwj,2016-04-02T05:13:37Z,This could use a more descriptive commit message.\n(see #7785 for an example on how to do this)\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-204648811,204648811,
paveljanik,2016-04-06T08:07:21Z,"@s-matthew-english Can you please fix these nits, so we an proceed with this PR?\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-206203389,206203389,
smatthewenglish,2016-04-06T08:13:50Z,"done.\n\nOn Wed, Apr 6, 2016 at 10:08 AM, paveljanik notifications@github.com\nwrote:\n\n> @s-matthew-english https://github.com/s-matthew-english Can you please\n> fix these nits, so we an proceed with this PR?\n> \n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly or view it on GitHub\n> https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-206203389\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-206208988,206208988,
MarcoFalke,2016-04-07T16:50:45Z,Please squash and make the commit message something like `[doc] Improve IsStandardTx comment`\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-206989807,206989807,
smatthewenglish,2016-04-07T16:58:23Z,"I'm new to contributing to projects on here, but I'm trying to learn, that's why I did this, so I'm wondering, what does it mean to squash the commit? How to do that? \n\n*Please forgive me if this question is daft. \n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-206993486,206993486,
paveljanik,2016-04-07T17:40:19Z,See e.g. #1952 where `git rebase -i` is described. Or you are doing it via web (patch-2)?\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207020204,207020204,
paveljanik,2016-04-07T17:41:37Z,"But squashing these two commits into one can be done when merging, but better do this yourself.\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207020800,207020800,
smatthewenglish,2016-04-07T18:03:19Z,"cool- I'll do this tonight\n\nOn Thu, Apr 7, 2016 at 7:42 PM, paveljanik notifications@github.com wrote:\n\n> But squashing these two commits into one can be done when merging, but\n> better do this yourself.\n> \n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly or view it on GitHub\n> https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207020800\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207030547,207030547,
smatthewenglish,2016-04-08T19:28:11Z,so I tried to do it from my terminal- since originally I made these changes just online using GitHub web app- but- did the changes percolate? I used the suggested name of the commit message and all :/ \n\nPlease forgive me if this is a bit daft- but- Im just learning how to become a contributor to an open source project. \n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207569594,207569594,
paveljanik,2016-04-08T19:33:03Z,Looks like you need to `git push` yet :-)\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207570845,207570845,
smatthewenglish,2016-04-08T19:35:43Z,"so then just 'git push -u origin master'?\n\nOn Fri, Apr 8, 2016 at 9:33 PM, paveljanik notifications@github.com wrote:\n\n> Looks like you need to git push yet :-)\n> \n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly or view it on GitHub\n> https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207570845\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207571708,207571708,
paveljanik,2016-04-08T19:37:29Z,I think `git push -f origin patch-2`\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207572197,207572197,
smatthewenglish,2016-04-08T19:39:54Z,"he tell me this:\n\n""error: src refspec patch-2 does not match any.""\n\nOn Fri, Apr 8, 2016 at 9:38 PM, paveljanik notifications@github.com wrote:\n\n> I think git push -f origin patch-2\n> \n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly or view it on GitHub\n> https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207572197\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207573190,207573190,
paveljanik,2016-04-08T19:42:58Z,"Hmm, your current work is in `patch-2`, so it looks like to do not have a proper clone of it locally.\nWhat does `git remote show origin` show for you?\nCan you join IRC?\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207573994,207573994,
smatthewenglish,2016-04-08T19:46:37Z,![btc](https://cloud.githubusercontent.com/assets/9053984/14395681/5daaf90e-fdd3-11e5-8797-1fa9c68722cd.png)\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207574879,207574879,
paveljanik,2016-04-08T19:49:57Z,"Ah, so you cloned the original source, not your patch-2 branch. OK.\nThis should work then:\n\n```\ngit remote add s-matthew-english https://www.github.com/s-matthew-english/bitcoin\ngit push -f s-matthew-english patch-2\n```\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207575732,207575732,
smatthewenglish,2016-04-08T19:57:12Z,"ah, rats! seems- \n![btddc](https://cloud.githubusercontent.com/assets/9053984/14395904/d6fa71d0-fdd4-11e5-81bf-c8214e43988a.png)\nno dice!\n",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207577973,207577973,
smatthewenglish,2016-04-08T20:09:03Z,http://stackoverflow.com/questions/5802426/git-error-src-refspec-master-does-not-match-any\n\n^ I tried that :/\nanyway- I'll keep werking on it\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207582234,207582234,
paveljanik,2016-04-08T20:10:25Z,So please start from scratch in empty directory:\n\n```\ngit clone https://www.github.com/s-matthew-english/bitcoin\ncd bitcoin\ngit checkout --track origin/patch-2\ngit rebase -i e9723cb27384ccd8e4bd78d2fea907534fd0d94a\n... change pick to squash on the second line\n... change the commit message\ngit push -f origin patch-2\n```\n\nOK?\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207582561,207582561,
smatthewenglish,2016-04-08T20:19:00Z,"Hmm- I don't know if it worked. \n\nI'm not so good at VIM\n\nI tried to change the commit message after the step `git rebase -i e9723cb27384ccd8e4bd78d2fea907534fd0d94a`\n\nbut I don't know if these ones percolated:\n... change pick to squash on the second line\n... change the commit message\n\nand then finally it just told me:\n\n""Everything up-to-date""\n\nSo- that doesn't seem right :/\n\nI'm s",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207587466,207587466,
smatthewenglish,2016-04-08T20:19:34Z,How to join IRC?\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207587733,207587733,
paveljanik,2016-04-08T20:34:46Z,Join IRC here: https://bitcoincore.org/en/contribute/ - there is a webchat link to join irc.freenode.net.\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207592430,207592430,
smatthewenglish,2016-04-08T20:46:16Z,"for some reason the link http://irc.freenode.net/ seems not to load on\nChromium or Firefox\n\nOn Fri, Apr 8, 2016 at 10:35 PM, paveljanik notifications@github.com\nwrote:\n\n> Join IRC here: https://bitcoincore.org/en/contribute/ - there is a\n> webchat link to join irc.freenode.net.\n> \n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly or view it on GitHu",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207598562,207598562,
smatthewenglish,2016-04-08T20:46:36Z,"maybe my Uni blocks it?\n\nOn Fri, Apr 8, 2016 at 10:45 PM, Matthew English <\ns.matthew.english@gmail.com> wrote:\n\n> for some reason the link http://irc.freenode.net/ seems not to load on\n> Chromium or Firefox\n> \n> On Fri, Apr 8, 2016 at 10:35 PM, paveljanik notifications@github.com\n> wrote:\n> \n> > Join IRC here: https://bitcoincore.org/en/contribute/ - there is a\n> > webchat link to joi",https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207598736,207598736,
paveljanik,2016-04-08T20:48:21Z,Click on #bitcoin-core-dev.\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207599720,207599720,
smatthewenglish,2016-04-08T20:57:57Z,ok cool- I'm there as 'matthew_english'\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207604224,207604224,
smatthewenglish,2016-04-08T21:08:40Z,![btc](https://cloud.githubusercontent.com/assets/9053984/14397638/d3165840-fdde-11e5-8b68-3c701f38f91b.png)\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207607244,207607244,
paveljanik,2016-04-08T21:23:50Z,ACK https://github.com/bitcoin/bitcoin/pull/7786/commits/03c77fdc143fb8d533011f23164daac560e381b2\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207611322,207611322,
laanwj,2016-04-09T10:12:24Z,@s-matthew-english Thanks for going through this\n\n@paveljanik Thanks for helping him go through this\n\nACK https://github.com/bitcoin/bitcoin/pull/7786/commits/03c77fdc143fb8d533011f23164daac560e381b2\n,https://github.com/bitcoin/bitcoin/pull/7786#issuecomment-207765859,207765859,
paveljanik,2016-04-02T05:41:21Z,"When touching this comment, can you please also move the '(520 byte limit)' above before the dot?\n",https://github.com/bitcoin/bitcoin/pull/7786#discussion_r58289104,58289104,src/policy/policy.cpp
