jonasschnelli,2016-04-17T07:44:59Z,Yes. Why not.\nutACK cf56ea709490cc6ac5b7d7896e843fdc3e909342\n,https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-210971577,210971577,
MarcoFalke,2016-04-17T09:03:33Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-210982866,210982866,
laanwj,2016-04-18T10:18:29Z,"I'm not convinced that this doesn't just obscure things.\nThe idea of BitcoinUnits was already to be able to change the units there easily.\nHiding the actual unit names behind a layer of splicing together strings is not very elegant.\n(the idea is that different coins may have different units, there's no need for them to be mXTC etc)\n",https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-211314261,211314261,
domob1812,2016-04-18T11:49:18Z,"Ok, but what is then the point of having `CURRENCY_UNIT` in amount.h, if not to reduce the number of times where the string is written?\n",https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-211344324,211344324,
laanwj,2016-04-18T12:16:11Z,"See it like this: bitcoinunits is the GUI's equivalent of the core's amount.h\n\nIn the future we want to decrease the coupling between both, this doesn't really help that.\n",https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-211353753,211353753,
domob1812,2016-04-18T12:39:26Z,"I still believe that it makes sense to have the constant duplicated in as few places as possible, but I can also understand this point of view.  So if you prefer to keep this separation, feel free to close the PR.\n",https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-211361524,211361524,
laanwj,2016-04-19T08:25:19Z,"Ok, closing this then...\n",https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-211791635,211791635,
laanwj,2016-04-20T06:49:07Z,"Another thing to consider here: [BITCOIN SIGN](http://files.righto.com/bitcoin-unicode.pdf) has been assigned the unicode codepoint U+20BF. In the future we likely want to use that in the UI instead (or along with) the three-letter code. There will always be GUI-specific component to currency ""visualization"".\n",https://github.com/bitcoin/bitcoin/pull/7894#issuecomment-212284338,212284338,
paveljanik,2016-04-17T09:10:54Z,"Is `%1` etc. needed for ""BTC""/`baseUnit` here? Isn't `QString(baseUnit)` enough here?\n",https://github.com/bitcoin/bitcoin/pull/7894#discussion_r59980744,59980744,src/qt/bitcoinunits.cpp
domob1812,2016-04-17T09:18:03Z,"Actually just `baseUnit` alone would be enough.  I chose the current style because it is in my opinion more readable, since all three cases look the same.  But since this is a matter of taste, I can as well change the code if everyone thinks that I should just return `baseUnit` here.\n",https://github.com/bitcoin/bitcoin/pull/7894#discussion_r59980816,59980816,src/qt/bitcoinunits.cpp
paveljanik,2016-04-17T09:24:18Z,"I see this was the goal, but you must have `::fromUtf8` in the micro case anyway...\n",https://github.com/bitcoin/bitcoin/pull/7894#discussion_r59980881,59980881,src/qt/bitcoinunits.cpp
