NicolasDorier,2016-05-23T04:04:14Z,"nit typo: ""SocketSendData re**s**urns written size""\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-220883338,220883338,
sipa,2016-05-24T16:37:34Z,#8082 moves mapRelay from net to main. I think it indeed belongs with node processing code and not in base networking code.\n,https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-221330283,221330283,
theuni,2016-05-24T16:48:43Z,"@sipa Indeed, that's definitely the correct approach and the change here can be dropped.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-221333543,221333543,
theuni,2016-05-26T01:30:23Z,"@laanwj I pushed a bunch of new commits to address the review you gave me. The commit history doesn't really make sense now, though, as there's a good bit of reverting. Please let me know if you'd like me to squash down to a more logical history for easier review, or continue to pile up changes and squash at the end.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-221754643,221754643,
theuni,2016-05-27T05:34:00Z,"Rebased to master and squashed down changes so that the history makes sense again.\n\nThough there's still a good bit left to do, I think this is a good stopping point. I'll avoid making further changes here unless requested.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-222063946,222063946,
theuni,2016-06-06T21:21:00Z,"Rebased to master after #8082, and dropped that commit here. Should be ready for review.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-224092243,224092243,
kazcw,2016-06-10T20:42:10Z,utACK the src/*.* changes at f86d0be (with minor notes in comments) [didn't review the subdirectory stuff thoroughly; I'm less familiar with that code]\n,https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-225290282,225290282,
theuni,2016-06-10T21:14:09Z,"@kazcw Thanks for the excellent review! I'll pick this back up in ~2 weeks. Obviously if that's going to stall progress on lock refactors too much, go ahead with them and I'll cope with it here.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-225297383,225297383,
JeremyRubin,2016-06-15T15:11:59Z,"utack, other than the atomic::store problem I marked this refactor seems safe.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-226218468,226218468,
theuni,2016-06-28T08:48:02Z,"Addressed most (all?) of the comments here, and added some commits.\n\nFor future comparison, the current tip is https://github.com/theuni/bitcoin/commit/f96d164f83239e74288ea6a707228be9a4f3ae27. I'll now work on rebasing to master.\n",https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-228989553,228989553,
btcdrak,2016-08-24T20:23:27Z,needs rebase.\n,https://github.com/bitcoin/bitcoin/pull/8085#issuecomment-242195853,242195853,
