jonasschnelli,2016-06-29T18:48:57Z,Nice! Thanks.\nConcept ACK.\n,https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-229451654,229451654,
luke-jr,2016-07-01T16:44:11Z,Concept ACK. Would you mind switching to the standard project copyright header while you're at it?\n,https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-229993729,229993729,
roques,2016-07-01T18:30:05Z,"@luke-jr, I switched to a copyright year range instead of an enumeration, as it is more popular here.\nI did compare license headers with several other files in `src/` and the _license_ looks identical, so there shouldn't be any legal traps in that regard. However, I don't believe my small contributions over the years make me a ""Bitcoin Core Developer"" yet.\n",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230017214,230017214,
luke-jr,2016-07-01T20:05:09Z,"The ""Copyright Bitcoin Core developers"" is essentially saying each author retains copyright to their own contributions; there is no centralised/formal/legal entity. Maybe we should clarify this somewhere. (To be clear, I don't consider this a blocker to your PR, just a ""nice to have"".)\n",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230036262,230036262,
MarcoFalke,2016-07-02T08:50:04Z,"If you are the sole author of the file, it is fine to just put your name and not ""Bitcoin Core developers"". However, if someone modifies the file, we just put ""Bitcoin Core developers"" in there to not clutter the headers. The detailed list of authors could then be fetched via `git blame` or `git log` or https://github.com/bitcoin/bitcoin/blob/master/doc/release-notes/release-notes-0.10.0.md#credit",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230091476,230091476,
roques,2016-07-04T17:02:47Z,"I did some more digging through the Copyright headers. Below `src/` the situation is very clear: Either a file originates with Bitcoin and is ""Copyright (c) The Bitcoin Core developers"" or it originates from an external project and keeps that project's authors' Copyright headers. Satoshi is an exception to that rule. Outside of `src/`, especially in `contrib/devtools/` there are several files whic",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230328359,230328359,
MarcoFalke,2016-07-05T09:49:06Z,"Travis failure unrelated in tests.exe:\n\n```\nApplication tried to create a window, but no driver could be loaded.\nMake sure that your X server is running and that $DISPLAY is set correctly.\nerr:systray:initialize_systray Could not create tray window\ntest count = err:seh:setup_exception stack overflow 3648 bytes in thread 0026 eip 00002aef24a23efb esp 00000000001407c0 stack 0x140000-0x141000-0",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230434918,230434918,
petertodd,2016-07-05T18:16:46Z,"The phrase ""Bitcoin Core developers"" in the copyright notice just means ""developers of Bitcoin Core"" - which is anyone at all who has contributed anything. There's a good writeup on this subject that here, which takes into account how distributed revision control systems like git do a good job of recording exact authorship for legal purposes: https://softwarefreedom.org/resources/2012/ManagingCopy",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230558725,230558725,
laanwj,2016-07-06T05:52:36Z,">  My initial resistance was due to me misunderstanding that I was being asked to assign my copyright to somebody else.\n\nYou cannot 'accidentally' assign your copyright to someone else, only by signing an explicit contract. Some projects (such as leveldb) have a separate contributor license agreement that transfers copyright to a company or organization (to Google in that case). Bitcoin Core doe",https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230677013,230677013,
MarcoFalke,2016-07-06T07:49:38Z,Anyone knows what is the proper way to test this on fedora with just\nself-compiled Bitcoin Core?\n,https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-230702168,230702168,
laanwj,2016-07-07T10:13:50Z,> Anyone knows what is the proper way to test this on fedora with just self-compiled Bitcoin Core?\n\nMy guess would be typing this into your shell:\n\n``` bash\nexport PATH=$PATH:$BUILDDIR/src\nsource contrib/bitcoin-tx.bash-completion\nsource contrib/bitcoind.bash-completion\n```\n\nThe commands need to be in your path. The completion script are simply bash scripts that define a function and ins,https://github.com/bitcoin/bitcoin/pull/8289#issuecomment-231038744,231038744,
