sipa,2016-07-29T19:44:38Z,Concept ACK for 0.14. I don't think there is anything urgent here for 0.13?\n,https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-236275589,236275589,
laanwj,2016-07-30T08:54:51Z,"@sipa Neither expat nor ccache is directly used in the Bitcoin Core executable, but part of tools (expat is used for the protobuf compiler) / building. So no, I don't see any reason why this would be urgent. We could bump them for 0.14.\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-236354185,236354185,
theuni,2016-07-31T16:33:43Z,ut ack.\n,https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-236440084,236440084,
laanwj,2016-08-04T11:35:14Z,"HM I was wrong above - expat is not used for protobuf, but used for the dbus, and also a part of fontconfig.\nI vaguely remember we could drop dbus as a dependency as Qt loads it dynamically?\nAny hope of getting rid of expat @theuni?\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-237528167,237528167,
fanquake,2016-08-04T13:07:50Z,From memory we had to wait until we moved to Qt 5.7. Although that could all be rolled into 0.14.0?\n,https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-237547203,237547203,
laanwj,2016-08-04T13:17:03Z,"Ah yes Qt 5.7 there's an issue open for that: #8237\n\nAfter that we can get rid of dbus, but can we get rid of expat? What is it used for in fontconfig?\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-237549511,237549511,
theuni,2016-08-04T17:54:48Z,"@laanwj Yes, we can get rid of dbus. IIRC we can do that already, I'll take a look and PR it if possible.\n\nUnfortunately, I think we're stuck with expat in fontconfig. It's one of the libs that we use to link, then throw away.\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-237631355,237631355,
fanquake,2016-08-29T10:24:29Z,"[ccache 3.3 has been released](https://ccache.samba.org/releasenotes.html#_ccache_3_3), I'll update this PR to include it. @theuni is this going to clash with your Qt5.7 work?\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-243088417,243088417,
laanwj,2016-08-31T14:18:51Z,"> Unfortunately, I think we're stuck with expat in fontconfig. It's one of the libs that we use to link, then throw away.\n\nWould help to have a list of packages whose CVE's affect the final binary, and which don't, to avoid unpleasant surprises.\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-243778856,243778856,
fanquake,2016-09-03T07:30:23Z,"Rebased, updated ccache to 3.3.0 and added a commit for fontconfig 2.12.1\n",https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-244532295,244532295,
laanwj,2016-09-22T05:54:38Z,utACK 86d410d\n,https://github.com/bitcoin/bitcoin/pull/8423#issuecomment-248818714,248818714,
