jonasschnelli,2016-08-24T06:39:33Z,Nice!\nConcept ACK.\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-241971324,241971324,
isle2983,2016-08-25T02:30:46Z,Comment spelling/grammar nits:\n\ns/OtherBasic/Other basic/ \ns/Debian based/Debian-based/\ns/arguement/argument/\ns/# Window/# Windows/\ns/# Sign Sindows/# Sign Windows/\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242265201,242265201,
achow101,2016-08-25T03:04:13Z,Nits addressed\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242269230,242269230,
laanwj,2016-08-25T08:43:26Z,"Concept ACK, haven't tested\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242318860,242318860,
btcdrak,2016-08-25T09:59:08Z,"Concept ACK, I'm testing this out.\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242337054,242337054,
sipa,2016-08-25T10:17:20Z,"One feature I've always wanted (but never bothered to add to my own build scripts) is detached signing: I don't want my GPG key on the build machine. However, if you don't use gsign, the assert file is overwritten for every build. So if possible I'd like to have a means to just copy the assert file to the right location in gitian.sigs, but without adding the gpg signature yet.\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242341072,242341072,
btcdrak,2016-08-25T11:28:28Z,"I agree with @sipa, we need a ""--sign-detached"" option. In my case my signing keys are on a hardware device which is not available to the VM so I have to copy (scp) the gitian.sigs/\* out to my main machine to detach sign. Certainly running the --sign command works, you end up with the asserts in the gitian.sigs folder but of course it generates error messages.\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242355025,242355025,
btcdrak,2016-08-25T11:30:19Z,This could really do with checking that the MacOS SDK file exists in the  `gitian-builder/inputs/` folder\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242355379,242355379,
btcdrak,2016-08-25T11:49:14Z,"Tested various options, works, makes me happy.\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242358948,242358948,
achow101,2016-08-25T19:29:30Z,Addressed btcdrak's concerns.\n\nI will see what I can do regarding detached signing.\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242509022,242509022,
achow101,2016-08-25T19:35:32Z,So what exactly do you guys want with detached signing?\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242510554,242510554,
sipa,2016-08-25T19:37:43Z,"By detached signing I mean it behaves exactly as if it's signing, and the\n.assert file appears inside the gitian.sigs dir, but no GPG signature for\nit is created.\n\nThanks a lot for looking into this wishlist item :)\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242511167,242511167,
achow101,2016-08-25T23:36:10Z,@sipa @btcdrak I think I got it to create just the assert files for detached signing. I also added an option to not automatically commit the sigs.\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242579404,242579404,
laanwj,2016-08-26T09:56:37Z,"> By detached signing I mean it behaves exactly as if it's signing, and the\n> .assert file appears inside the gitian.sigs dir, but no GPG signature for\n> it is created.\n\nMy favorite hack for this is:\n\n``` bash\ngsign -p true ...\n```\n\n(This uses the program ""true"" to sign, which effectively skips the step and returns success)\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242686189,242686189,
laanwj,2016-08-26T09:58:54Z,"Oh that's what you did already, great!\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242686824,242686824,
ghost,2016-08-26T20:03:09Z,"""--setup"" has failed because it is missing the clone bitcoin command:\n\n> git clone https://github.com/bitcoin/bitcoin\n\nUpdate: Fair point as I had it from somewhere else; should probably mention that somewhere for newcomers attempting this. The script itself seems to be properly working, although it won't work in a VM due to other reasons.\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242837021,242837021,
achow101,2016-08-26T20:07:23Z,"The assumption is that you already have that\n\nOn August 26, 2016 4:03:39 PM Lauda notifications@github.com wrote:\n\n> ""--setup"" has failed because it is missing the clone bitcoin command:\n> \n> > git clone https://github.com/bitcoin/bitcoin\n> \n> ## \n> \n> You are receiving this because you authored the thread.\n> Reply to this email directly or view it on GitHub:\n> https://github.com/bitco",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242837988,242837988,
laanwj,2016-08-28T12:02:14Z,"`doc/gitian-building.md` should be updated to use this script.\n(not necessarily in this pull, but it makes sure that we have a ""supported"" build process that uses this script)\n",https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242971057,242971057,
btcdrak,2016-08-28T12:50:35Z,Tested ACK 6ffd6b4a573e00644b8985c825357a7aa7b8ce88 (documentation nit aside)\n,https://github.com/bitcoin/bitcoin/pull/8566#issuecomment-242973119,242973119,
