petertodd,2016-09-08T18:53:52Z,"Concept ACK\n\nAs this is not consensus, we can always increase the limit later.\n",https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-245701821,245701821,
sipa,2016-09-08T19:50:35Z,I don't think this needs to be implemented as a script interpreter option. It can be done long before script execution is attempted.\n,https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-245718635,245718635,
dcousens,2016-09-09T00:16:33Z,> I don't think this needs to be implemented as a script interpreter option. It can be done long before script execution is attempted.\n\nThe modularity of the flag is nice though.\n~~Has there been any thought on making policies more modular?~~ Not relevant here\n,https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-245782283,245782283,
jl2012,2016-09-09T03:52:04Z,"@sipa @instagibbs @dcousens Another option is make it inside #8499, which creates a smaller diff and won't touch the consensus critical files\n",https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-245812252,245812252,
sipa,2016-09-09T04:28:04Z,"@jl2012 Yes, I prefer doing it there.\n",https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-245816543,245816543,
jl2012,2016-09-09T10:10:30Z,Implemented in a different way at #8499 \n,https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-245874263,245874263,
jl2012,2016-09-13T14:55:06Z,Closed in favor of #8499 \n,https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-246709047,246709047,
laanwj,2016-09-26T14:01:45Z,This was closed unmerged. Removing needs backport tag.\n,https://github.com/bitcoin/bitcoin/pull/8685#issuecomment-249577820,249577820,
instagibbs,2016-09-08T19:33:34Z,are there really no near/mid-term uses of something larger than 80 bytes?\n,https://github.com/bitcoin/bitcoin/pull/8685#discussion_r78074221,78074221,src/script/interpreter.cpp
sipa,2016-09-08T19:38:57Z,"Apart from the hashing operations, there is not even an opcode in the scripting language that can process them.\n",https://github.com/bitcoin/bitcoin/pull/8685#discussion_r78075078,78075078,src/script/interpreter.cpp
instagibbs,2016-09-08T19:49:16Z,Might make sense to stick this inside the witversion==0 block if we want to tie both behaviors to specific versions or neither if we don't. (in which case let's just do it earlier in processing)\n,https://github.com/bitcoin/bitcoin/pull/8685#discussion_r78076697,78076697,src/script/interpreter.cpp
