luke-jr,2016-09-10T03:07:28Z,"ThreadFlushWalletDB is started from init still, no?\n",https://github.com/bitcoin/bitcoin/pull/8696#issuecomment-246084679,246084679,
pstratem,2016-09-10T03:10:49Z,@luke-jr yes but that doesn't use CWalletDB and handles something having the database open already just fine.\n\nThe goal here is to cache the CWalletDB across nested CWallet calls to avoid performance issues. (Similar to what the initial wallet encryption logic does).\n,https://github.com/bitcoin/bitcoin/pull/8696#issuecomment-246084829,246084829,
MarcoFalke,2016-09-11T11:32:14Z,utACK 461a760\n,https://github.com/bitcoin/bitcoin/pull/8696#issuecomment-246175608,246175608,
jonasschnelli,2016-09-12T09:37:22Z,utACK 461a7600664fe771964fc0bf153004c087bd8004\n,https://github.com/bitcoin/bitcoin/pull/8696#issuecomment-246297229,246297229,
laanwj,2016-09-20T10:47:53Z,utACK 2ca6b9d\n,https://github.com/bitcoin/bitcoin/pull/8696#issuecomment-248267136,248267136,
TheBlueMatt,2016-09-13T13:55:14Z,"Would be kind of nice to not expose DBErrors further from wallet, though I would still call this a strict improvement.\n",https://github.com/bitcoin/bitcoin/pull/8696#discussion_r78563253,78563253,src/wallet/wallet.h
TheBlueMatt,2016-09-13T14:04:57Z,Does this lose atomicity? Could duplicate the function to add a wrapper which does not require the walletdb pointer?\n,https://github.com/bitcoin/bitcoin/pull/8696#discussion_r78565123,78565123,src/wallet/wallet.cpp
pstratem,2016-09-15T12:38:43Z,DBErrors is already exposed in CWallet::LoadWallet I'll probably change that later\n,https://github.com/bitcoin/bitcoin/pull/8696#discussion_r78953080,78953080,src/wallet/wallet.h
pstratem,2016-09-15T16:02:13Z,I've made AccountMove atomic again by overloading AddAccountingEntry\n,https://github.com/bitcoin/bitcoin/pull/8696#discussion_r79000358,79000358,src/wallet/wallet.cpp
laanwj,2016-09-20T10:05:01Z,Can this one be private?\n,https://github.com/bitcoin/bitcoin/pull/8696#discussion_r79575907,79575907,src/wallet/wallet.h
pstratem,2016-09-20T10:07:38Z,"Maybe, I'm going to go through all of the API calls and make things which can be private private as a sweep.\n\nI'd rather fix this then.\n",https://github.com/bitcoin/bitcoin/pull/8696#discussion_r79576389,79576389,src/wallet/wallet.h
laanwj,2016-09-20T10:46:42Z,"OK, fair enough\n",https://github.com/bitcoin/bitcoin/pull/8696#discussion_r79582862,79582862,src/wallet/wallet.h
