fanquake,2016-10-04T03:12:09Z,"OS X screenshots:\nCurrent\n![before](https://cloud.githubusercontent.com/assets/863730/19061364/cbe04ede-8a22-11e6-8ecc-8abe6292a139.png)\n8874\n![after](https://cloud.githubusercontent.com/assets/863730/19061367/d28b206a-8a22-11e6-865b-f219bd5a4116.png)\n\nWhen  multiple nodes are selected the dropdown menu should be ""Nodes"".\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251285167,251285167,
paveljanik,2016-10-04T05:06:31Z,"concept ACK\n\n... or you can change the text to ""Disconnect"" and ""Ban for 1 hour"". I think we should use consistent terminology here. The bookmark is called ""Peers"" and we use ""node"" here. RPCs are `getpeerinfo`, `addnode`. Oops. But at least GUI should be consistent.\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251296897,251296897,
luke-jr,2016-10-04T05:17:21Z,"Our peers are nodes. Different terms for different things. Peer is the relationship, node is the thing.\n\nTruncating the menu items does seem like the simplest approach here, though.\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251297967,251297967,
achow101,2016-10-04T12:33:06Z,"I've just removed `Node` so that it says `Disconnect`, `Ban for ..`, and `Unban`\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251374784,251374784,
laanwj,2016-10-05T02:37:27Z,Probably need #8885 in first to be able to test this re:banning.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251567598,251567598,
laanwj,2016-10-05T03:32:01Z,"Have tested d651056\nI've been unable to ban/kick multiple peers. Either with Ctrl-click or Shift-click. Is there some other trick?\nUbuntu 16.04, Qt reports as 5.5.1.\nIt seems like it allows multiple selection (e.g. two nodes can be selected for a fraction of a second) but always ends up selecting the last clicked node. Maybe some rogue event handler?\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251573564,251573564,
achow101,2016-10-05T03:45:26Z,"Click, hold, and move your mouse across multiple rows. That's what works. I haven't figured out Ctrl+click or Shift+click yet.\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251574902,251574902,
achow101,2016-10-05T04:54:01Z,"@laanwj 763cc02 should allow for multiple selection with Ctrl-click, shift-click, and click n' drag.\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-251581623,251581623,
jonasschnelli,2016-10-08T15:15:48Z,Needs rebase.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-252429893,252429893,
achow101,2016-10-08T23:37:40Z,rebased\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-252454480,252454480,
achow101,2016-10-09T14:51:30Z,"I'm not sure why some of them get deselected. I noticed that too, but I can't figure out a reason for why that happens.\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-252490892,252490892,
rebroad,2016-10-19T01:18:22Z,"Can we use keyboard shortcuts for selecting as per GUI standards? I.e. hold down shift while using the a cursor up/down to select multiple, or using spacebar and cursor up/down to toggle whether a node is selected or not (once at least one node is selected)?\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-254684372,254684372,
achow101,2016-10-19T01:34:48Z,@rebroad It's whatever [`QAbstractItemView::ExtendedSelection`](http://doc.qt.io/qt-4.8/qabstractitemview.html#SelectionMode-enum) specifies\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-254686602,254686602,
jonasschnelli,2016-11-08T07:43:13Z,@achow101: Are you planing to finalizing this? IMO there are still the issue with auto-deselecting rows.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259067591,259067591,
achow101,2016-11-08T13:18:28Z,"@jonasschnelli Yes, I do plan on finishing this. However, I am having trouble with figuring out why there is auto-deselecting.\n",https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259133804,259133804,
achow101,2016-11-08T13:52:50Z,rebased.\n\nI think I figured out why it was auto-deselecting. It loses the selection after the model is refresehed.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259141484,259141484,
achow101,2016-11-08T15:42:58Z,I think I fixed the problem.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259171549,259171549,
achow101,2016-11-08T20:12:43Z,Actually fixed it this time.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259246229,259246229,
paveljanik,2016-11-08T20:42:31Z,ACK https://github.com/bitcoin/bitcoin/pull/8874/commits/1077577546334bc26daa3ab8580f24063a0b67c6\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259253564,259253564,
laanwj,2016-11-09T10:05:11Z,Seems to work well enough now. If there are still minor issues with selection they can be fixed later.\nACK 1077577\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259376986,259376986,
jonasschnelli,2016-11-09T10:18:14Z,Post merge ACK.\n,https://github.com/bitcoin/bitcoin/pull/8874#issuecomment-259379755,259379755,
jonasschnelli,2016-10-08T15:17:17Z,I think the `clearSelectedNode();` and L1008 can be moved out of the `for loop`\n,https://github.com/bitcoin/bitcoin/pull/8874#discussion_r82504154,82504154,src/qt/rpcconsole.cpp
achow101,2016-10-09T14:50:44Z,Done\n,https://github.com/bitcoin/bitcoin/pull/8874#discussion_r82523941,82523941,src/qt/rpcconsole.cpp
