luke-jr,2016-11-14T10:08:04Z,What's with all the uppercase? Probably should specify which version of Qt.\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260295773,260295773,
laanwj,2016-11-14T10:14:53Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260297285,260297285,
MarcoFalke,2016-11-14T11:46:25Z,utACK 9d380ea\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260315337,260315337,
laanwj,2016-11-15T08:53:00Z,@theuni can you take a look as well?\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260583064,260583064,
paveljanik,2016-11-15T09:13:32Z,Can you add ZMQ and miniupnpc co make it complete?\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260587375,260587375,
paveljanik,2016-11-15T09:13:51Z,"Concept ACK!\n\nI like such verbosity, because it can the be used to compare build logs easily (it is no fun to look for differences on 500characters `configure` lines)....\n",https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260587427,260587427,
jonasschnelli,2016-11-15T16:02:58Z,"Updated, added major Qt version, ZMQ, UPNP, DEBUG ENABLED (more obvious then checking for -O0).\nQR CODE and QT VERSION is only visible when QT is enabled.\n\nThis is how it looks now:\n\n```\nOptions used to compile and link:\n  WITH WALLET   = yes\n  WITH GUI / QT = yes\n    QT VERSION  = 5\n    WITH QR     = yes\n  WITH ZMQ      = yes\n  WITH TEST     = yes\n  WITH BENCH    = yes\n  WITH UPNP  ",https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260682477,260682477,
sipa,2016-11-15T17:45:26Z,utACK ce1acfc6e9fb6e81c11f3d65446999462206eae6\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260713018,260713018,
paveljanik,2016-11-15T17:47:16Z,"There are too many uppercase words WITH. I think that only variable names (`CC`, `CFLAGS`, ..., `LDFLAGS`) should be uppercased.\n",https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260713524,260713524,
theuni,2016-11-16T06:24:35Z,"Very nice, concept ACK. Will review.\nEdit: Well that's simple enough. utACK https://github.com/bitcoin/bitcoin/commit/ce1acfc6e9fb6e81c11f3d65446999462206eae6.\n\nFor bikeshedding, I agree with @paveljanik about not using caps except for variables that can be overridden. But it's not a big deal.\n",https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260864602,260864602,
laanwj,2016-11-16T08:17:46Z,"> There are too many uppercase words WITH. I think that only variable names (CC, CFLAGS, ..., LDFLAGS) should be uppercased.\n\nI tend to agree. Not that I care much for aesthetic reasons, but it can result in confusion, in the `./configure --help` interface uppercase means 'a variable that can be overridden'. So yes let's make it less yelly :-)\n",https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260882084,260882084,
jonasschnelli,2016-11-16T10:21:38Z,Switched the non CFLAGish stuff to lowercase:\n\nThis is how it looks now:\n\n```\nOptions used to compile and link:\n  with wallet   = yes\n  with gui / qt = yes\n    qt version  = 5\n    with qr     = yes\n  with zmq      = yes\n  with test     = yes\n  with bench    = yes\n  with upnp     = yes\n  debug enabled = no\n\n  target os     = darwin\n  build os      = darwin\n\n  CC            = /usr,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260908716,260908716,
fanquake,2016-11-16T10:38:30Z,Travis errors are unrelated. Output looks ok.\n\n```\nconfig.status: executing libtool commands\n\nOptions used to compile and link:\n  with wallet   = yes\n  with gui / qt = yes\n    qt version  = 5\n    with qr     = yes\n  with zmq      = yes\n  with test     = yes\n  with bench    = yes\n  with upnp     = yes\n  debug enabled = no\n\n  target os     = darwin\n  build os      = darwin\n\n  CC  ,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-260912441,260912441,
paveljanik,2016-11-17T11:33:56Z,ACK https://github.com/bitcoin/bitcoin/pull/9156/commits/d8274bcd00865d829808e8e05651c61dff7ccac0\n,https://github.com/bitcoin/bitcoin/pull/9156#issuecomment-261224711,261224711,
paveljanik,2016-11-15T09:12:07Z,"No need for `""""`.\n",https://github.com/bitcoin/bitcoin/pull/9156#discussion_r87973828,87973828,configure.ac
paveljanik,2016-11-15T09:12:50Z,"""Conditionalize"" QR on QT?\n",https://github.com/bitcoin/bitcoin/pull/9156#discussion_r87973927,87973927,configure.ac
paveljanik,2016-11-16T11:01:07Z,indent please.\n,https://github.com/bitcoin/bitcoin/pull/9156#discussion_r88213938,88213938,configure.ac
paveljanik,2016-11-16T11:01:16Z,"no need for """"\n",https://github.com/bitcoin/bitcoin/pull/9156#discussion_r88213976,88213976,configure.ac
