laanwj,2017-01-11T12:57:38Z,Makes sense. Is there an automated tool you used to find these?,https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-271861813,271861813,
practicalswift,2017-01-12T13:52:34Z,"@laanwj Yes, [`pycodestyle`](https://pypi.python.org/pypi/pycodestyle) (formerly `pep8`) is probably the most common tool for checking Python code against the Python Software Foundation's [Style Guide for Python Code (PEP-8)](https://www.python.org/dev/peps/pep-0008/). Unused imports is one class of violations covered by `pycodestyle`.\n\nI've done some cleanup work for the `apple/swift` project",https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-272167993,272167993,
jtimon,2017-01-13T02:08:55Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-272342168,272342168,
practicalswift,2017-01-13T18:03:50Z,Removed `[trivial]` from the commit title.,https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-272505037,272505037,
jnewbery,2017-01-17T14:45:02Z,"ACK\n\nFeel free to open PRs for tidying up python coding style. I'm happy to review anything in the qa directory.",https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273187082,273187082,
practicalswift,2017-01-17T14:59:44Z,"@jnewbery OK, great! Will do! :-)",https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273192008,273192008,
practicalswift,2017-01-17T15:00:53Z,@jnewbery Do you know who to ask for a review of PR #9529? :-),https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273192350,273192350,
practicalswift,2017-01-18T09:15:09Z,"@jnewbery What is the proper protocol to follow w.r.t. to submitting Python cleanups? Should I wait for this initial Python cleanup PR to get merged before proceeding with further cleanups, or what is the preferred way to proceed? :-)",https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273422627,273422627,
MarcoFalke,2017-01-18T09:25:55Z,utACK 95bab821b3af268d23e9cf5f9da3dd7f1e396949,https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273425144,273425144,
jnewbery,2017-01-18T14:20:52Z,"@practicalswift - probably best to ask @MarcoFalke since he maintains the qa and test code. In general I'd recommend not making parallel PRs which touch a lot of files, since you'll probably end up having to rebase.",https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273486906,273486906,
practicalswift,2017-01-18T15:25:02Z,@jnewbery Makes sense! My second Python cleanup PR is #9532 which removes 8 unused Python variables (+ one unused variable in the C++ code :-)).,https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273505461,273505461,
MarcoFalke,2017-01-18T18:22:21Z,"I think it makes sense to clean up the python code base in qa/ but\nplease make sure you are not ""exceeding the goal"". We already had\ncleanup pulls which changed to a max line length to 80 chars among\nother things. It turned out the patch was impossible to review,\nactually changed behavior and would have introduced bugs. I'd rather\nhave ""ugly"" code that works than some PEP8 code that crashes.\",https://github.com/bitcoin/bitcoin/pull/9508#issuecomment-273557288,273557288,
