dcousens,2017-02-22T06:35:40Z,concept ACK,https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281582711,281582711,
benma,2017-02-22T06:50:21Z,"Related: could we just also remove that part? The comment says `Upgrading to 0.8`, and according to https://bitnodes.21.co/nodes/, there is no Core node running older than that.",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281584926,281584926,
sipa,2017-02-22T07:06:44Z,"@benma I believe it may be impossible or at least very nontrivial to get a 0.7 node to sync at this point, so i'd be in favor of removing that piece of logic.",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281587517,281587517,
benma,2017-02-22T07:16:03Z,Thanks @sipa. Pushed a new commit that removes the code.,https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281588899,281588899,
laanwj,2017-02-22T07:56:41Z,"Yes, let's drop this for 0.15. utACK https://github.com/bitcoin/bitcoin/pull/9822/commits/45d7ee25f1bfaff7d65a248116e401a4a13d0608",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281595636,281595636,
MarcoFalke,2017-02-22T08:48:04Z,utACK fb678229429364f9a0a93add93e21fe444ae0fcb,https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281606230,281606230,
laanwj,2017-02-22T10:47:14Z,I think an unrelated commit snuck into here accidentally: https://github.com/bitcoin/bitcoin/pull/9822/commits/4cce79cc137d27900e1ceebe8e9bfc5d1befb302,https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281634256,281634256,
benma,2017-02-22T11:35:02Z,"It was not unrelated, I needed it to cleanly remove the full block and not leave an \n\n`boost::filesystem::create_directories(GetDataDir() / ""blocks"");`\n\nIn any case, I removed the second commit and will make a new PR for that :)",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281645088,281645088,
benma,2017-02-22T13:48:24Z,"I am a bit confused about the CI failure. Locally, `test/test_bitcoin` passes, and I am almost sure that the same version (but a previous commit) passed CI tests before. Might there be a problem with the CI?",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281673682,281673682,
jnewbery,2017-02-22T14:08:18Z,"We should include an upgrade compatibility note in the V0.15 release notes. Something like:\n\nUpgrade to V0.15 is supported from V0.8 and higher. To upgrade from V0.7 and lower, you must first upgrade to V0.14, and then upgrade to V0.15.",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281678689,281678689,
MarcoFalke,2017-02-22T14:27:32Z,"> To upgrade from V0.7 and lower, you must first upgrade to V0.14, and then upgrade to V0.15.\n\nThis is not required. Doing so has the only advantage that you don't\nhave to download the blockchain again and that there are no duplicate\nblock files in the datadir after upgrade.\n",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281683697,281683697,
MarcoFalke,2017-02-22T14:28:57Z,"> same version (but a previous commit) passed CI tests\n\nIf the same commit passed review and travis, you might want to force\npush that instead, to not invalidate the results.\n\nOn Wed, Feb 22, 2017 at 3:27 PM, Marco Falke <marco.falke@tum.de> wrote:\n>> To upgrade from V0.7 and lower, you must first upgrade to V0.14, and then upgrade to V0.15.\n>\n> This is not required. Doing so has the only ",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281684104,281684104,
jnewbery,2017-02-22T14:35:10Z,"> Doing so has the only advantage that you don't\nhave to download the blockchain again and that there are no duplicate\nblock files in the datadir after upgrade.\n\nWhich is currently >100GB of duplicate data that the user has no way of removing except for going into the datadir and manually deleting. Why not just add a note to the release notes saying ""don't upgrade directly from <=0.7 to >=",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281685960,281685960,
benma,2017-02-22T14:37:46Z,"My take on that is that it is unlikely anyone would actually upgrade from <=0.7. It does not look like anybody is using it, and as @sipa mentioned, it would be impossible or very hard to run a <=0.7 client in the first place.",https://github.com/bitcoin/bitcoin/pull/9822#issuecomment-281686758,281686758,
