sipa,2017-02-24T03:28:47Z,utACK,https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-282194260,282194260,
kallewoof,2017-02-24T04:53:43Z,utACK 073613b,https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-282204026,282204026,
paveljanik,2017-02-24T09:34:58Z,utACK 073613b,https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-282246871,282246871,
laanwj,2017-02-24T09:50:19Z,"Good idea, rpcserver is supposed to be bitcoin-agnostic, those methods don't belong there. ",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-282250002,282250002,
jtimon,2017-02-24T23:25:35Z,"There's also GetDifficulty (declared in rpc/server.h, defined in rpc/blockchain.cpp, used in several rpc places) which isn't taken care of here. I wasn't sure what to do with it.",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-282433053,282433053,
NicolasDorier,2017-02-28T05:31:35Z,utACK 073613b36a8780dd720e2a17f1314980173e200d,https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-282946589,282946589,
MarcoFalke,2017-02-28T10:54:50Z,utACK 073613b36a8780dd720e2a17f1314980173e200d,https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-283008322,283008322,
laanwj,2017-03-05T13:30:09Z,Needs rebase (and last nit-fix),https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-284227905,284227905,
jtimon,2017-03-06T21:58:47Z,"Rebased.\nRebasing makes the first commit unnecessary after #8775 ""a4356328 Move wallet RPC declarations to rpcwallet.h"" . It seems nWalletUnlockTime was moved in #8775 too (see ""2e518e31 Move nWalletUnlockTime to CWallet::nRelockTime, and name timed task unique per CWallet"" ).\nThis leaves the PR to a single commit removing the unnecessary 'extern' in functions, trivial to review.\n",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-284547039,284547039,
MarcoFalke,2017-03-06T22:18:26Z,"> removing the unnecessary 'extern' in functions\n\nI think there are other functions with 'extern'. You might as well do it\nfor the whole code base.\n\nOn Mon, Mar 6, 2017 at 10:59 PM, Jorge Timón <notifications@github.com>\nwrote:\n\n> Rebased.\n> Rebasing makes the first commit unnecessary after #8775\n> <https://github.com/bitcoin/bitcoin/pull/8775> ""a4356328 Move wallet RPC\n> declarations t",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-284552260,284552260,
jtimon,2017-03-06T22:39:48Z,"@MarcoFalke I guess at that point I should create another PR since the tittle ""RPC: cleanups in rpc/server"" wouldn't fit anymore. I'm not planning to do that in the short term, but you are right. I would happily ACK such a PR to replace this one if anybody does it. I was just working on rpcwallet and rpc/server and saw easy things to fix without knowing about #8775 . I may end up doing it myself i",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-284557838,284557838,
laanwj,2017-03-07T10:07:05Z,"> I think there are other functions with 'extern'. You might as well do it for the whole code base.\n\nFor whoever does that: do add instruction in `developer-notes.md` on when to use `extern` and when not to. It seems safe to add extern to these cases, just redundant, so I'd see this as quite low priority.",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-284677489,284677489,
jtimon,2017-03-21T13:59:10Z,"extern should never be used for functions, but I'm not sure that is worth to add ""please don't add extern to functions because it doesn't do anything"" to the developer notes, at least not more than ""please don't add variables that aren't used"".\nAgreed removing extern is low priority, as said, the most interesting parts of this PR were already done by #8775\n\nShould we merge this anyway (since",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-288086418,288086418,
jtimon,2017-03-23T20:34:46Z,"Closing, it seems at this point would be preferable to remove extern from all functions from the project at once (I bet they're not that many, but I didn't looked yet) as @MarcoFalke suggests.\nIn some way, all utACKs for this were just partial acks for merged #8775",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-288851628,288851628,
laanwj,2017-03-24T07:19:11Z,"I think removing GetDifficulty from server.h would have made a lot of sense here, along with the other cleanups as those lines were touched anyway, but indeed it's very low priority.",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-288950791,288950791,
jtimon,2017-03-25T13:02:40Z,"Well, as said I wasn't sure what to do with GetDifficulty, so this PR never moved it.",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-289210365,289210365,
laanwj,2017-03-27T12:32:49Z,"No need to be clever here, if it's defined in `src/rpc/blockchain.cpp` the interface should be declared in `src/rpc/blockchain.h`. Will file a PR, see #10095.",https://github.com/bitcoin/bitcoin/pull/9845#issuecomment-289439635,289439635,
jnewbery,2017-03-02T03:00:55Z,"Can you also move `nWalletUnlockTime` to rpcwallet.h as an extern declaration? You'll need to `#include wallet/rpcwallet.h` in rpc/misc.cpp, protected by `#ifdef ENABLE_WALLET`",https://github.com/bitcoin/bitcoin/pull/9845#discussion_r103842394,103842394,src/rpc/server.h
laanwj,2017-03-02T10:43:00Z,Good catch. Agreed.,https://github.com/bitcoin/bitcoin/pull/9845#discussion_r103895516,103895516,src/rpc/server.h
laanwj,2017-03-08T06:24:08Z,Why is GetDifficulty still here? :-),https://github.com/bitcoin/bitcoin/pull/9845#discussion_r104852383,104852383,src/rpc/server.h
